customerID,SentimentLabel
7590-VHVEG,positive
5575-GNVDE,positive
3668-QPYBK,positive
7795-CFOCW,neutral
9237-HQITU,positive
9305-CDSKC,positive
1452-KIOVK,negative
6713-OKOMC,negative
7892-POOKP,neutral
6388-TABGU,positive
9763-GRSKD,neutral
7469-LKBCI,negative
8091-TTVAX,positive
0280-XJGEX,neutral
5129-JLPIS,neutral
3655-SNQYZ,negative
8191-XWSZG,positive
9959-WOFKT,negative
4190-MFLUW,neutral
4183-MYFRB,neutral
8779-QRDMV,positive
1680-VDCWW,neutral
1066-JKSGK,positive
3638-WEABW,neutral
6322-HRPFA,neutral
6865-JZNKO,negative
6467-CHFZW,positive
8665-UTDHZ,negative
5248-YGIJN,neutral
8773-HHUOZ,neutral
3841-NFECX,negative
4929-XIHVW,neutral
6827-IEAUQ,neutral
7310-EGVHZ,positive
3413-BMNZE,neutral
6234-RAAPL,negative
6047-YHPVI,neutral
6572-ADKRS,positive
5380-WJKOV,positive
8168-UQWWF,positive
8865-TNMNX,positive
9489-DEDVP,neutral
9867-JCZSP,neutral
4671-VJLCL,positive
4080-IIARD,neutral
3714-NTNFO,positive
5948-UJZLF,positive
7760-OYPDY,neutral
7639-LIAYI,negative
2954-PIBKO,negative
8012-SOUDQ,negative
9420-LOJKX,neutral
6575-SUVOI,positive
7495-OOKFY,negative
4667-QONEA,neutral
1658-BYGOY,positive
8769-KKTPH,positive
5067-XJQFU,neutral
3957-SQXML,positive
5954-BDFSG,negative
0434-CSFON,positive
1215-FIGMP,neutral
0526-SXDJP,neutral
0557-ASKVU,positive
5698-BQJOH,neutral
5122-CYFXA,neutral
8627-ZYGSZ,negative
3410-YOQBQ,neutral
3170-NMYVV,neutral
7410-OIEDU,positive
2273-QCKXA,neutral
0731-EBJQB,negative
1891-QRQSA,negative
8028-PNXHQ,neutral
5630-AHZIL,negative
2673-CXQEU,neutral
6416-JNVRK,positive
5590-ZSKRV,positive
0191-ZHSKZ,positive
3887-PBQAO,positive
5919-TMRGD,neutral
8108-UXRQN,neutral
9191-MYQKX,neutral
9919-YLNNG,neutral
0318-ZOPWS,negative
4445-ZJNMU,neutral
4808-YNLEU,neutral
1862-QRWPE,positive
2796-NNUFI,neutral
3016-KSVCP,positive
4767-HZZHQ,negative
2424-WVHPL,negative
7233-PAHHL,neutral
6067-NGCEU,positive
9848-JQJTX,negative
8637-XJIVR,neutral
9803-FTJCG,neutral
0278-YXOOG,neutral
3212-KXOCR,neutral
4598-XLKNJ,negative
6380-ARCEH,negative
3679-XASPY,neutral
7123-WQUHX,neutral
5386-THSLQ,negative
3192-NQECA,neutral
6180-YBIQI,negative
6728-DKUCO,positive
9750-BOOHV,positive
8597-CWYHH,neutral
2848-YXSMW,neutral
0486-HECZI,negative
4549-ZDQYY,positive
5712-AHQNN,neutral
4846-WHAFZ,negative
5256-SKJGO,positive
3071-VBYPO,positive
9560-BBZXK,positive
5299-RULOA,negative
8402-OOOHJ,positive
9445-ZUEQE,negative
1091-SOZGA,positive
2928-HLDBA,neutral
0404-SWRVG,positive
6497-TILVL,neutral
7219-TLZHO,neutral
4622-YNKIJ,positive
4412-YLTKF,neutral
6734-PSBAW,neutral
3930-ZGWVE,negative
2639-UGMAZ,neutral
2876-GZYZC,neutral
6207-WIOLX,positive
8587-XYZSF,negative
3091-FYHKI,negative
2372-HWUHI,neutral
7799-LGRDP,positive
7850-VWJUU,positive
3774-VBNXY,negative
6217-KDYWC,neutral
0390-DCFDQ,negative
3146-MSEGF,neutral
4080-OGPJL,positive
1095-WGNGG,negative
2636-SJDOU,negative
1131-QQZEB,neutral
5716-EZXZN,neutral
6837-BJYDQ,neutral
2135-RXIHG,positive
6440-DKQGE,negative
3466-BYAVD,neutral
3780-YVMFA,negative
3874-EQOEP,negative
1679-JRFBR,negative
9073-ZZIAY,negative
3077-RSNTJ,positive
6551-GNYDG,positive
9167-APMXZ,positive
2749-CTKAJ,neutral
6371-NZYEG,positive
7554-NEWDD,neutral
8992-VONJD,positive
0867-MKZVY,neutral
4482-EWFMI,negative
4648-YPBTM,neutral
2907-ILJBN,neutral
6345-FZOQH,neutral
3376-BMGFE,negative
5997-OPVFA,neutral
3445-HXXGF,neutral
1159-WFSGR,neutral
7654-YWJUF,neutral
1875-QIVME,positive
6727-IOTLZ,negative
0691-JVSYA,negative
5918-VUKWP,negative
1744-JHKYS,negative
2656-FMOKZ,positive
2070-FNEXE,neutral
5947-SGKCL,positive
3712-PKXZA,positive
6317-YPKDH,neutral
6582-OIVSP,positive
9367-WXLCH,negative
5524-KHNJP,neutral
1918-ZBFQJ,positive
1024-GUALD,positive
4827-USJHP,negative
8167-GJLRN,negative
0956-SYCWG,positive
8017-UVSZU,negative
7100-FQPRV,positive
2472-OVKUP,negative
2984-RGEYA,neutral
9680-NIAUV,neutral
2146-EGVDT,positive
2604-IJPDU,positive
9178-JHUVJ,neutral
6168-YBYNP,neutral
7255-SSFBC,positive
3645-DEYGF,neutral
9323-HGFWY,positive
8544-GOQSH,neutral
3363-DTIVD,positive
7018-WBJNK,negative
9142-KZXOP,negative
7674-YTAFD,positive
6348-SNFUS,positive
1285-OKIPP,negative
7825-ECJRF,negative
1347-KTTTA,positive
7841-TZDMQ,neutral
4195-NZGTA,negative
7157-SMCFK,positive
4709-LKHYG,positive
2504-DSHIH,positive
0699-NDKJM,neutral
9286-BHDQG,neutral
0230-WEQUW,neutral
2040-LDIWQ,negative
6496-JDSSB,positive
9408-SSNVZ,neutral
4443-EMBNA,neutral
6469-MRVET,negative
0742-MOABM,positive
5961-VUSRV,positive
6778-JFCMK,negative
6341-JVQGF,negative
